NPD_WELL_BORE_NAME,DATE,production_age_months,oil_volume,on_stream_hours,oil_per_on_stream_hour,water_cut_pct,gas_oil_ratio,oil_volume_lag_1,oil_volume_lag_2,oil_volume_lag_3,oil_volume_recent_mean_3,target_next_month_oil_volume,is_latest_available_origin
15/9-F-12,2011-09-01,43,29999.17,707.0,42.43164073550212,78.64387107346917,152.2177700249707,36380.15,12462.42,22026.06,26280.58,12647.5,False
15/9-F-12,2011-10-01,44,12647.5,325.66166,38.83631865046687,80.69770600687085,151.78210950780786,29999.17,36380.15,12462.42,26342.27333333333,21789.05,False
15/9-F-12,2011-11-01,45,21789.05,459.33334,47.43624749729684,77.66645367385942,148.81023633430556,12647.5,29999.17,36380.15,21478.573333333334,18090.2,False
15/9-F-12,2011-12-01,46,18090.2,424.82166,42.58304531835783,78.14319228377434,146.51542326784667,21789.05,12647.5,29999.17,17508.916666666668,18217.85,False
15/9-F-12,2012-01-01,47,18217.85,399.65834,45.583560197943065,77.80356296076445,149.44537637536814,18090.2,21789.05,12647.5,19365.7,27362.26,False
15/9-F-12,2012-02-01,48,27362.26,688.75833,39.72693876529958,83.03822425867942,156.78254756734276,18217.85,18090.2,21789.05,21223.436666666665,26679.88,False
15/9-F-12,2012-03-01,49,26679.88,740.41666,36.03360302562614,84.20036397361211,160.27755447175923,27362.26,18217.85,18090.2,24086.66333333333,24088.35,False
15/9-F-12,2012-04-01,50,24088.35,710.29167,33.913321832987286,85.14905415374697,160.4987552073928,26679.88,27362.26,18217.85,26043.496666666662,22415.15,False
15/9-F-12,2012-05-01,51,22415.15,737.69167,30.38552678790585,86.21611995382078,161.98679330720518,24088.35,26679.88,27362.26,24394.460000000003,20887.38,False
15/9-F-12,2012-06-01,52,20887.38,711.33334,29.363701692936253,86.5215422322274,162.52140574835138,22415.15,24088.35,26679.88,22463.626666666667,21206.94,False
15/9-F-12,2012-07-01,53,21206.94,744.0,28.503951612903226,86.85830896874151,162.4359143751998,20887.38,22415.15,24088.35,21503.156666666662,8998.24,False
15/9-F-12,2012-08-01,54,8998.24,288.625,31.176232135123428,85.89282785915027,152.93602748982025,21206.94,20887.38,22415.15,17030.853333333333,1013.93,False
15/9-F-12,2012-09-01,55,1013.93,26.99166,37.564566240090464,81.65499971955903,154.76453009576596,8998.24,21206.94,20887.38,10406.37,19612.85,False
15/9-F-12,2012-10-01,56,19612.85,610.175,32.14299176465768,86.08329593895648,156.40691689377118,1013.93,8998.24,21206.94,9875.006666666666,19018.88,False
15/9-F-12,2012-11-01,57,19018.88,720.0,26.415111111111116,87.64432049635596,162.28293989972067,19612.85,1013.93,8998.24,13215.22,16320.65,False
15/9-F-12,2012-12-01,58,16320.65,700.24999,23.30689072912375,88.97164555415544,166.49398338914196,19018.88,19612.85,1013.93,18317.46,17408.57,False
15/9-F-12,2013-01-01,59,17408.57,744.0,23.39861559139785,88.92531768373173,165.50348248018074,16320.65,19018.88,19612.85,17582.7,15087.38,False
