NPD_WELL_BORE_NAME,YEAR_MONTH,oil_volume,water_volume,DATE,total_liquid_volume,water_cut_pct
15/9-F-14,2010-06,75309.81999999999,96580.92,2010-06-01,171890.74,56.18738973373435
15/9-F-14,2010-07,69600.25,101216.35,2010-07-01,170816.6,59.25439916261066
15/9-F-14,2010-08,38413.73,56452.9,2010-08-01,94866.63,59.50764773661719
15/9-F-14,2010-09,55405.21,66506.82,2010-09-01,121912.03,54.553123264373504
15/9-F-14,2010-10,78755.31,100949.14,2010-10-01,179704.45,56.17509193567549
15/9-F-14,2010-11,62555.48,96969.98,2010-11-01,159525.46,60.786522728096195
15/9-F-14,2010-12,63886.23,111640.46,2010-12-01,175526.69,63.603124972048406
15/9-F-14,2011-01,61328.45,111168.02,2011-01-01,172496.47,64.4465478047174
15/9-F-14,2011-02,44066.31,79492.13,2011-02-01,123558.44,64.33565363887728
15/9-F-14,2011-03,56709.96,117498.23,2011-03-01,174208.19,67.44701842089054
15/9-F-14,2011-04,51814.24,122053.6,2011-04-01,173867.84,70.19906614127144
15/9-F-14,2011-05,51121.62,129331.86,2011-05-01,180453.48,71.67047152540367
15/9-F-14,2011-06,31194.510000000002,81258.77,2011-06-01,112453.28,72.2600265639206
15/9-F-14,2011-07,20211.31,42012.13,2011-07-01,62223.44,67.51817321575277
15/9-F-14,2011-08,49730.28,108934.77,2011-08-01,158665.05,68.65706719910908
15/9-F-14,2011-09,51053.13,133957.61,2011-09-01,185010.74,72.40531549681927
15/9-F-14,2011-10,21807.23,56487.87,2011-10-01,78295.1,72.14738853389292
15/9-F-14,2011-11,35043.89,73586.39,2011-11-01,108630.28,67.74021939370864
15/9-F-14,2011-12,34166.4,74442.9,2011-12-01,108609.29999999999,68.54192044327696
15/9-F-14,2012-01,27309.23,57518.38,2012-01-01,84827.61,67.80620130639069
15/9-F-14,2012-02,36797.659999999996,55275.84,2012-02-01,92073.5,60.03447245950247
15/9-F-14,2012-03,34745.590000000004,60225.91,2012-03-01,94971.5,63.414719152587885
15/9-F-14,2012-04,36509.79,72811.24,2012-04-01,109321.03,66.60314122543485
15/9-F-14,2012-05,35051.96,82877.31,2012-05-01,117929.26999999999,70.27713306459033
15/9-F-14,2012-06,31665.55,80184.2,2012-06-01,111849.75,71.68920806707212
15/9-F-14,2012-07,32960.7,83969.56,2012-07-01,116930.26,71.81165936003221
15/9-F-14,2012-08,12689.84,33257.32,2012-08-01,45947.16,72.38166624444253
15/9-F-14,2012-09,1655.0800000000002,2918.1899999999996,2012-09-01,4573.2699999999995,63.80970290404896
15/9-F-14,2012-10,33944.02,60061.38,2012-10-01,94005.4,63.89141474851445
15/9-F-14,2012-11,34931.66,87226.64,2012-11-01,122158.3,71.40459551254396
15/9-F-14,2012-12,30122.89,93523.46,2012-12-01,123646.35,75.63786557387259
15/9-F-14,2013-01,30184.8,99784.43,2013-01-01,129969.23,76.7754259989076
15/9-F-14,2013-02,26595.53,92120.59,2013-02-01,118716.12,77.5973726230271
15/9-F-14,2013-03,18816.52,70618.72,2013-03-01,89435.24,78.96073180996662
15/9-F-14,2013-04,22875.420000000002,79450.26,2013-04-01,102325.68,77.6444974516661
15/9-F-14,2013-05,27661.53,109553.2,2013-05-01,137214.72999999998,79.84069931850611
15/9-F-14,2013-06,22298.26,93413.24,2013-06-01,115711.5,80.7294348444191
15/9-F-14,2013-07,22602.78,94589.45,2013-07-01,117192.23,80.7130728718107
15/9-F-14,2013-08,21666.9,91453.17,2013-08-01,113120.07,80.84610449763689
15/9-F-14,2013-09,17870.72,92677.05,2013-09-01,110547.77,83.83439123195339
15/9-F-14,2013-10,18441.11,96753.57,2013-10-01,115194.68000000001,83.99135272566407
15/9-F-14,2013-11,19248.66,103737.87,2013-11-01,122986.53,84.34896894806285
15/9-F-14,2013-12,15495.97,97307.32,2013-12-01,112803.29000000001,86.2628386104696
